"SVF","Inte alls viktig",.5269994,.4936439,.5603548
"SVF","Inte så viktig",.3290284,.3004093,.3576474
"SVF","Ganska viktig",.106953,.0903997,.1235064
"SVF","Mycket viktig",.0370192,.0290359,.0450025
"Gen 2","Inte alls viktig",.1305186,.0950761,.1659611
"Gen 2","Inte så viktig",.1642076,.1323802,.196035
"Gen 2","Ganska viktig",.3115604,.2729512,.3501695
"Gen 2","Mycket viktig",.3937135,.3459586,.4414684
"Gen 1","Inte alls viktig",.1011991,.0523313,.1500669
"Gen 1","Inte så viktig",.1561458,.1109393,.2013523
"Gen 1","Ganska viktig",.3110348,.2096653,.4124044
"Gen 1","Mycket viktig",.4316202,.3599809,.5032596
